name,time_ns,compiler,cluster,source_file,kernel
s116_run_timed,356672960,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356386078,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356189857,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356608949,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
s116_run_timed,356580779,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s116
dace_s116,429409000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,413448000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,403231000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,402594000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,403308000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,403077000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,402612000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,403390000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,402484000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,402475000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
dace_s116,402859000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116
s118_run_timed,15905874,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15913515,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,16021506,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15904804,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15869405,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15857444,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15955975,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15858514,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15892444,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,16109836,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
s118_run_timed,15942506,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s118
dace_s118_cpy,14133000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14140000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14340000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14295000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14310000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14296000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
