,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
156,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s251,325327000.0,325518909.09090906,335894690909.0866,dace,s251
157,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s252,62732000.0,62689272.72727273,84548418181.81802,dace,s252
158,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s253,165108000.0,185003950.0,2111981890576314.5,dace,s253
159,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s254,194768000.0,194788454.54545453,313998072727.2716,dace,s254
160,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s255,51635000.0,51628000.0,68620199999.999954,dace,s255
161,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s256,160831000.0,159048090.9090909,14054495690909.09,dace,s256
162,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s258,1000.0,1500.0,944444.4444444445,dace,s258
163,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s261,80057000.0,80084181.81818181,135715163636.36221,dace,s261
164,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s271,255989000.0,256460454.54545453,1749571872727.2695,dace,s271
165,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s272,46402000.0,46221900.0,1203102544444.4426,dace,s272
166,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s274,121128000.0,121166300.0,38344011111.11109,dace,s274
167,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s311,629629000.0,629274272.7272727,1739501218181.8416,dace,s311
168,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s3110,84688000.0,84830181.81818181,235486963636.36432,dace,s3110
169,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s3111,83348000.0,83298800.0,28242177777.77775,dace,s3111
170,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s31111,27452500.0,27611500.0,100466055555.55566,dace,s31111
